Date,Open,High,Low,Close,Adj Close,Volume
2021-08-18,147.199997,147.800003,145.050003,145.600006,135.598816,4409849
2021-08-20,140.000000,144.399994,140.000000,140.350006,130.709427,14354380
2021-08-23,142.600006,144.100006,140.000000,140.800003,131.128525,7997462
2021-08-24,142.000000,148.000000,141.949997,145.449997,135.459122,21248075
2021-08-25,146.600006,147.500000,144.000000,144.899994,134.946899,7673148
2021-08-26,144.899994,145.300003,141.399994,142.649994,132.851440,9753061
2021-08-27,143.300003,145.199997,142.000000,143.500000,133.643066,12540924
2021-08-30,143.350006,146.699997,143.350006,146.000000,135.971344,12311639
2021-08-31,145.949997,147.649994,143.800003,146.149994,136.111023,14009836
2021-09-01,147.000000,148.250000,144.500000,144.800003,134.853775,10817269
2021-09-02,145.899994,147.250000,144.149994,145.100006,135.133163,8728875
2021-09-03,146.000000,149.350006,145.100006,147.399994,137.275177,14252130
2021-09-06,149.000000,149.600006,146.500000,146.899994,136.809525,7391246
2021-09-07,146.899994,147.600006,144.000000,144.199997,134.294968,6201833
2021-09-08,145.000000,146.500000,144.000000,145.100006,135.133163,8478763
2021-09-09,144.949997,148.750000,144.500000,145.149994,135.179733,12018323
2021-09-13,145.949997,146.300003,144.449997,145.899994,135.878189,7285948
2021-09-14,147.199997,156.649994,147.199997,156.000000,145.284454,36317283
2021-09-15,156.000000,159.750000,155.300003,157.149994,146.355453,19909129
2021-09-16,157.000000,158.199997,156.000000,157.149994,146.355453,11639900
2021-09-17,156.850006,159.350006,153.250000,154.100006,143.514969,19212463
2021-09-20,152.000000,154.600006,148.550003,149.800003,139.510330,5998449
2021-09-21,149.800003,152.000000,145.000000,150.000000,139.696579,8663366
2021-09-22,150.899994,152.149994,149.399994,150.000000,139.696579,11442500
2021-09-23,152.050003,155.649994,151.149994,152.899994,142.397385,15138877
2021-09-24,154.000000,154.800003,148.550003,152.600006,142.117996,15631653
2021-09-27,155.000000,157.000000,152.000000,154.500000,143.887482,20980859
2021-09-28,154.250000,161.399994,153.050003,159.500000,148.544037,32956454
2021-09-29,157.949997,161.500000,154.250000,156.300003,145.563843,21640237
2021-09-30,158.949997,159.800003,155.100006,158.850006,147.938690,20812038
2021-10-01,160.199997,166.199997,157.550003,163.149994,151.943314,45803410
2021-10-04,164.399994,164.800003,161.000000,161.550003,150.453217,8960263
2021-10-05,161.600006,168.399994,161.550003,164.699997,153.386841,25205710
2021-10-06,165.000000,171.300003,164.000000,166.399994,154.970062,36571986
2021-10-07,168.050003,168.500000,158.899994,159.649994,148.683731,19095386
2021-10-08,161.300003,162.899994,157.649994,158.149994,147.286758,11727250
2021-10-11,158.899994,160.699997,158.500000,158.750000,147.845551,6354241
2021-10-12,158.949997,159.550003,157.050003,157.949997,147.100510,12008045
2021-10-13,158.300003,161.000000,158.100006,159.000000,148.078384,9967893
2021-10-14,160.000000,163.699997,159.500000,160.050003,149.056259,15541172
2021-10-18,161.000000,163.800003,160.850006,161.350006,150.266953,16868394
2021-10-19,161.800003,162.600006,154.850006,155.750000,145.051636,7452329
2021-10-20,155.000000,155.199997,150.199997,151.600006,141.186691,8527474
2021-10-21,153.100006,154.899994,148.600006,149.699997,139.417175,16741093
2021-10-22,152.500000,153.899994,148.750000,150.500000,140.162247,9069912
2021-10-25,151.550003,151.850006,146.100006,148.250000,138.066803,6942514
2021-10-26,148.850006,152.500000,148.850006,152.000000,141.559204,7550360
2021-10-27,152.149994,153.449997,149.350006,149.750000,139.463745,11969414
2021-10-28,150.500000,151.000000,146.199997,147.449997,137.321732,9873408
2021-10-29,146.649994,156.250000,145.500000,148.850006,138.625565,28347156
2021-11-01,152.500000,154.800003,149.000000,150.199997,139.882858,16547935
2021-11-02,150.699997,154.750000,150.350006,150.949997,140.581314,14821556
2021-11-03,151.850006,154.500000,150.000000,150.550003,140.208801,15841798
2021-11-04,151.300003,152.000000,151.000000,151.500000,141.093552,889957
2021-11-08,152.500000,153.149994,150.600006,151.899994,141.466064,18312975
2021-11-09,152.000000,152.699997,150.199997,150.649994,140.301926,10971902
2021-11-10,150.649994,153.100006,149.600006,152.100006,141.652344,18919425
